date,fips,cases,deaths
3/1/2020,6075,3,0
3/1/2020,6085,7,0
3/1/2020,6095,12,0
3/1/2020,6097,1,0
3/1/2020,12057,1,0
3/1/2020,12081,1,0
3/1/2020,17031,3,0
3/1/2020,25025,1,0
3/1/2020,31055,13,0
3/1/2020,,1,0
3/1/2020,41067,2,0
3/1/2020,,2,0
3/1/2020,48029,11,0
3/1/2020,49035,1,0
3/1/2020,53033,11,3
3/1/2020,53061,2,0
3/1/2020,53063,4,0
3/1/2020,55025,1,0
3/2/2020,4013,1,0
3/2/2020,6001,1,0
3/2/2020,6023,1,0
3/2/2020,6037,1,0
3/2/2020,6041,1,0
3/2/2020,6055,1,0
3/2/2020,6059,1,0
3/2/2020,6061,1,0
3/2/2020,6067,3,0
3/2/2020,6073,1,0
3/2/2020,6075,3,0
3/2/2020,6081,1,0
3/2/2020,6085,9,0
3/2/2020,6095,12,0
3/2/2020,6097,2,0
3/2/2020,12057,1,0
3/2/2020,12081,1,0
3/2/2020,13121,2,0
3/2/2020,17031,4,0
3/2/2020,25021,1,0
3/2/2020,25025,1,0
3/2/2020,31055,13,0
3/2/2020,33009,1,0
3/2/2020,,1,0
3/2/2020,41067,2,0
3/2/2020,,2,0
3/2/2020,48029,11,0
3/2/2020,49035,1,0
3/2/2020,53033,15,6
3/2/2020,53061,3,0
3/2/2020,53063,4,0
3/2/2020,53071,1,0
3/2/2020,55025,1,0
3/3/2020,4013,2,0
3/3/2020,6001,2,0
3/3/2020,6013,1,0
3/3/2020,6023,1,0
3/3/2020,6037,1,0
3/3/2020,6041,1,0
3/3/2020,6055,1,0
3/3/2020,6059,3,0
3/3/2020,6061,2,0
3/3/2020,6067,3,0
3/3/2020,6073,1,0
3/3/2020,6075,3,0
3/3/2020,6081,1,0
3/3/2020,6085,11,0
3/3/2020,6095,12,0
3/3/2020,6097,2,0
3/3/2020,12057,2,0
3/3/2020,12081,1,0
3/3/2020,13121,2,0
3/3/2020,17031,4,0
3/3/2020,25021,1,0
3/3/2020,25025,1,0
3/3/2020,31055,13,0
3/3/2020,33009,2,0
3/3/2020,,2,0
3/3/2020,37183,1,0
3/3/2020,41067,2,0
3/3/2020,,2,0
3/3/2020,48029,11,0
3/3/2020,49035,1,0
3/3/2020,53033,22,10
3/3/2020,53061,5,0
3/3/2020,53063,4,0
3/3/2020,53071,1,0
3/3/2020,55025,1,0
3/4/2020,4013,2,0
3/4/2020,6001,2,0
3/4/2020,6013,1,0
3/4/2020,6023,1,0
3/4/2020,6037,7,0
3/4/2020,6041,1,0
3/4/2020,6055,1,0
3/4/2020,6059,3,0
3/4/2020,6061,2,1
3/4/2020,6067,3,0
3/4/2020,6073,1,0
3/4/2020,6075,3,0
3/4/2020,6081,1,0
3/4/2020,6085,14,0
3/4/2020,6095,12,0
3/4/2020,6097,3,0
3/4/2020,12057,2,0
3/4/2020,12081,1,0
3/4/2020,13121,2,0
3/4/2020,17031,4,0
3/4/2020,25021,1,0
3/4/2020,25025,1,0
3/4/2020,31055,13,0
3/4/2020,33009,2,0
3/4/2020,34003,1,0
3/4/2020,,2,0
3/4/2020,36119,9,0
3/4/2020,37183,1,0
3/4/2020,41067,2,0
3/4/2020,,2,0
3/4/2020,48029,11,0
3/4/2020,48157,1,0
3/4/2020,49035,1,0
3/4/2020,53007,1,0
3/4/2020,53033,33,11
3/4/2020,53061,8,0
3/4/2020,53063,4,0
3/4/2020,53071,1,0
3/4/2020,55025,1,0
3/5/2020,4013,2,0
3/5/2020,6001,2,0
3/5/2020,6013,1,0
3/5/2020,6023,1,0
3/5/2020,6037,11,0
3/5/2020,6041,1,0
3/5/2020,6055,1,0
3/5/2020,6059,3,0
3/5/2020,6061,2,1
3/5/2020,6067,3,0
3/5/2020,6073,1,0
3/5/2020,6075,5,0
3/5/2020,6081,1,0
3/5/2020,6085,20,0
3/5/2020,6095,12,0
3/5/2020,6097,3,0
3/5/2020,8035,1,0
3/5/2020,8059,1,0
3/5/2020,12057,2,0
3/5/2020,12081,1,0
3/5/2020,12113,1,0
3/5/2020,13121,2,0
3/5/2020,17031,5,0
3/5/2020,24031,3,0
3/5/2020,25017,1,0
3/5/2020,25021,1,0
3/5/2020,25025,1,0
3/5/2020,31055,13,0
3/5/2020,32003,1,0
3/5/2020,32031,1,0
3/5/2020,33009,2,0
3/5/2020,34003,2,0
3/5/2020,36059,1,0
3/5/2020,,4,0
3/5/2020,36119,17,0
3/5/2020,37183,1,0
3/5/2020,41067,2,0
3/5/2020,,2,0
3/5/2020,47187,1,0
3/5/2020,48029,11,0
3/5/2020,48157,1,0
3/5/2020,48201,4,0
3/5/2020,49035,1,0
3/5/2020,53007,1,0
3/5/2020,53033,52,11
3/5/2020,53061,17,0
3/5/2020,53063,4,0
3/5/2020,53071,1,0
3/5/2020,55025,1,0
3/6/2020,4013,2,0
3/6/2020,4021,1,0
3/6/2020,6001,3,0
3/6/2020,6013,4,0
3/6/2020,6023,1,0
3/6/2020,6037,13,0
3/6/2020,6041,1,0
3/6/2020,6055,1,0
3/6/2020,6059,3,0
